title,url,published_date
Mengenal Konsep AI Sandwich: Cara Bijak Menggunakan AI agar Manusia Tetap Pegang Kendali,http://kominfo.malangkab.go.id/berita/mengenal-konsep-ai-sandwich-cara-bijak-menggunakan-ai-agar-manusia-tetap-pegang-kendali,"17 June 26, 09:20"
KIM of the Week: KIM Karya Inovatif Angkat Pendistribusian Bantuan Beras Bulog untuk Warga Desa Jambuwer,http://kominfo.malangkab.go.id/berita/kim-of-the-week-kim-karya-inovatif-angkat-pendistribusian-bantuan-beras-bulog-untuk-warga-desa-jambuwer,"17 June 26, 09:05"
Diskominfo Kabupaten Malang Gelar Sosialisasi SPLP untuk Dukung Pemerintahan Digital,http://kominfo.malangkab.go.id/berita/diskominfo-kabupaten-malang-gelar-sosialisasi-splp-untuk-dukung-pemerintahan-digital,"15 June 26, 14:10"
"SIM Digital, Solusi Praktis Berkendara di Era Digital",http://kominfo.malangkab.go.id/berita/sim-digital-solusi-praktis-berkendara-di-era-digital,"10 June 26, 09:22"
KIM of the Week: KIM Sitirejo Angkat Inovasi Kreatif Kades dalam Berkarya dengan Teknologi AI,http://kominfo.malangkab.go.id/berita/kim-of-the-week-kim-sitirejo-angkat-inovasi-kreatif-kades-dalam-berkarya-dengan-teknologi-ai,"04 June 26, 15:38"
Hati-Hati! Router WiFi Ternyata Bisa Mengenali Identitas Anda Tanpa Kamera,http://kominfo.malangkab.go.id/berita/hati-hati-router-wifi-ternyata-bisa-mengenali-identitas-anda-tanpa-kamera,"04 June 26, 08:00"
KIM of the Week: KIM X-Pare Times Angkat Greenhouse Melon sebagai Harapan Baru Ekonomi Desa,http://kominfo.malangkab.go.id/berita/kim-of-the-week-kim-x-pare-times-angkat-greenhouse-melon-sebagai-harapan-baru-ekonomi-desa,"02 June 26, 10:50"
Riset Terbaru Ungkap AI Bisa Tampak Panik Saat Hadapi Tugas Sulit,http://kominfo.malangkab.go.id/berita/riset-terbaru-ungkap-ai-bisa-tampak-panik-saat-hadapi-tugas-sulit,"26 May 26, 14:18"
"Gempur Stigma Sosial, Diskominfo Turut Andil dalam Orkestrasi Pemkab Malang Lintas Sektor Percepat Eliminasi TBC",http://kominfo.malangkab.go.id/berita/gempur-stigma-sosial-diskominfo-turut-andil-dalam-orkestrasi-pemkab-malang-lintas-sektor-percepat-eliminasi-tbc,"21 May 26, 14:11"
"Instagram Rilis Fitur Instants di Indonesia, Kenali Cara Pakai dan Fungsinya",http://kominfo.malangkab.go.id/berita/instagram-rilis-fitur-instants-di-indonesia-kenali-cara-pakai-dan-fungsinya,"20 May 26, 10:28"
QRIS Antarnegara Permudah Pembayaran Digital di Asia dan ASEAN,http://kominfo.malangkab.go.id/berita/qris-antarnegara-permudah-pembayaran-digital-di-asia-dan-asean,"13 May 26, 15:21"
"Kerjasama dengan Green Blue Consortium, Terapkan AI dalam Pengembangan SmartCity di Kabupaten Malang",http://kominfo.malangkab.go.id/berita/kerjasama-dengan-green-blue-consortium-terapkan-ai-dalam-pengembangan-smartcity-di-kabupaten-malang,"13 May 26, 15:19"
Diskominfo Kabupaten Malang Perkuat Keamanan Informasi Dengan ISO/IEC 27001:2022,http://kominfo.malangkab.go.id/berita/diskominfo-kabupaten-malang-perkuat-keamanan-informasi-dengan-isoiec-270012022,"13 May 26, 15:01"
KIM of the Week: KIM Wonoagung Angkat Sinergi Program Gizi untuk Generasi Desa,http://kominfo.malangkab.go.id/berita/kim-of-the-week-kim-wonoagung-angkat-sinergi-program-gizi-untuk-generasi-desa,"07 May 26, 10:56"
"Mata Sudah “Ngereog”, Jempol Masih Scrolling: Alarm Digital Fatigue di Era Informasi IT",http://kominfo.malangkab.go.id/berita/mata-sudah-ngereog-jempol-masih-scrolling-alarm-digital-fatigue-di-era-informasi-it,"05 May 26, 14:41"
"Wujud Pelayanan Masyarakat, KIM Desa Plandi Informasikan Penyerahan Sertifikat PTSL",http://kominfo.malangkab.go.id/berita/wujud-pelayanan-masyarakat-kim-desa-plandi-informasikan-penyerahan-sertifikat-ptsl,"30 April 26, 13:32"
AI Tanpa Internet: Apakah Bisa Digunakan Secara Offline? Ini Penjelasannya,http://kominfo.malangkab.go.id/berita/ai-tanpa-internet-apakah-bisa-digunakan-secara-offline-ini-penjelasannya,"29 April 26, 10:47"
"Menkomdigi: TikTok Nonaktifkan 1,7 Juta Akun Anak di Bawah 16 Tahun",http://kominfo.malangkab.go.id/berita/menkomdigi-tiktok-nonaktifkan-17-juta-akun-anak-di-bawah-16-tahun,"29 April 26, 10:19"
"KIM Wonderful Jambangan Kabarkan Pembangunan Jalan di Desanya, Simbol Gotong Royong Warga",http://kominfo.malangkab.go.id/berita/kim-wonderful-jambangan-kabarkan-pembangunan-jalan-di-desanya-simbol-gotong-royong-warga,"24 April 26, 09:27"
"Cara Praktis Laporan Kehilangan Online Resmi Polri, Warga Kabupaten Malang Wajib Tahu",http://kominfo.malangkab.go.id/berita/cara-praktis-laporan-kehilangan-online-resmi-polri-warga-kabupaten-malang-wajib-tahu,"21 April 26, 15:33"
"Diskominfo Kabupaten Malang Terima Delegasi DPRD Sidoarjo, Perkuat Transformasi Digital dan Smart City",http://kominfo.malangkab.go.id/berita/diskominfo-kabupaten-malang-terima-delegasi-dprd-sidoarjo-perkuat-transformasi-digital-dan-smart-city,"16 April 26, 15:10"
KIM of the Week: KIM Gema Slamparejo Angkat Festival Busu Jaman Biyen sebagai Upaya Pelestarian Budaya Lokal,http://kominfo.malangkab.go.id/berita/kim-of-the-week-kim-gema-slamparejo-angkat-festival-busu-jaman-biyen-sebagai-upaya-pelestarian-budaya-lokal,"16 April 26, 09:45"
KIM of the Week: KIM Basakom Angkat Apresiasi untuk Guru Ngaji di Desa Bakalan,http://kominfo.malangkab.go.id/berita/kim-of-the-week-kim-basakom-angkat-apresiasi-untuk-guru-ngaji-di-desa-bakalan,"16 April 26, 09:28"
KIM of the Week: KIM Ngasem Media Angkat Progres Pembangunan Koperasi Merah Putih Desa Ngasem,http://kominfo.malangkab.go.id/berita/kim-of-the-week-kim-ngasem-media-angkat-progres-pembangunan-koperasi-merah-putih-desa-ngasem,"16 April 26, 09:27"
"TikTok Tutup 780 Ribu Akun Anak, Pemerintah Desak Platform Lain",http://kominfo.malangkab.go.id/berita/tiktok-tutup-780-ribu-akun-anak-pemerintah-desak-platform-lain,"15 April 26, 10:35"
